id,name,condition,behavior,fnId,sourceLineStart,sourceLineEnd
af:solution-intelligence:sig-build/load/loaders/csv-loader.ts:parseCsv:guard,early-return guard,lines.length === 0,early return,fn:solution-intelligence:sig-build/load/loaders/csv-loader.ts:parseCsv,57,57
af:solution-intelligence:sig-build/load/loaders/csv-loader.ts:isDuplicateError:guard,early-return guard,!err,early return,fn:solution-intelligence:sig-build/load/loaders/csv-loader.ts:isDuplicateError,140,140
af:polygraph-viz:src/client/ui/chat.ts:installChat:guard,early-return guard,!opts.nlEnabled,early return,fn:polygraph-viz:src/client/ui/chat.ts:installChat,152,152
af:polygraph-viz:src/client/ui/chat.ts:installChat:guard-2,early-return guard,!app,early return,fn:polygraph-viz:src/client/ui/chat.ts:installChat,156,156
af:polygraph-viz:src/client/ui/chat.ts:installChat:try,try/catch in fn,thrown error,saveBtn.textContent = 'Save failed';,fn:polygraph-viz:src/client/ui/chat.ts:installChat,265,288
af:polygraph-viz:src/client/ui/chat.ts:installChat:guard-3,early-return guard,!msg,early return,fn:polygraph-viz:src/client/ui/chat.ts:installChat,356,356
af:polygraph-viz:src/client/ui/chat.ts:installChat:try-2,try/catch in fn,err,updateMessageText(,fn:polygraph-viz:src/client/ui/chat.ts:installChat,395,477
af:polygraph-viz:src/client/ui/chat.ts:installChat:try-3,try/catch in fn,thrown error,catch + handle,fn:polygraph-viz:src/client/ui/chat.ts:installChat,437,442
af:polygraph-viz:src/client/ui/chat.ts:installChat:try-4,try/catch in fn,thrown error,catch + handle,fn:polygraph-viz:src/client/ui/chat.ts:installChat,444,452
af:polygraph-viz:src/client/ui/chat.ts:installChat:try-5,try/catch in fn,thrown error,catch + handle,fn:polygraph-viz:src/client/ui/chat.ts:installChat,457,463
af:polygraph-viz:src/client/ui/chat.ts:installChat:guard-4,early-return guard,!v,early return,fn:polygraph-viz:src/client/ui/chat.ts:installChat,483,483
af:polygraph-viz:src/client/ui/command-palette.ts:installCommandPalette:guard,early-return guard,kind === 'nodeId',early return,fn:polygraph-viz:src/client/ui/command-palette.ts:installCommandPalette,258,263
af:polygraph-viz:src/client/ui/command-palette.ts:installCommandPalette:guard-2,early-return guard,kind === 'segment',early return,fn:polygraph-viz:src/client/ui/command-palette.ts:installCommandPalette,273,275
af:polygraph-viz:src/client/ui/command-palette.ts:installCommandPalette:guard-3,early-return guard,list.length === 0 || index < 0 || index >= list.length,early return,fn:polygraph-viz:src/client/ui/command-palette.ts:installCommandPalette,292,292
af:polygraph-viz:src/client/ui/command-palette.ts:installCommandPalette:guard-4,early-return guard,!parsed,early return,fn:polygraph-viz:src/client/ui/command-palette.ts:installCommandPalette,319,319
af:polygraph-viz:src/client/ui/command-palette.ts:installCommandPalette:guard-5,early-return guard,missingRequired,early return,fn:polygraph-viz:src/client/ui/command-palette.ts:installCommandPalette,324,324
af:polygraph-viz:src/client/ui/command-palette.ts:installCommandPalette:try,try/catch in fn,err,"console.error('command failed:', err);",fn:polygraph-viz:src/client/ui/command-palette.ts:installCommandPalette,325,331
