id,target,kind,purpose,fnId,sourceLineStart,sourceLineEnd
co:solution-intelligence:sig-build/load/loaders/csv-loader.ts:readCsv:fs,readFileSync,fs,sync file I/O,fn:solution-intelligence:sig-build/load/loaders/csv-loader.ts:readCsv,106,106
co:polygraph-viz:src/client/ui/chat.ts:installChat:http,fetch,http,outbound HTTP,fn:polygraph-viz:src/client/ui/chat.ts:installChat,270,278
co:polygraph-viz:src/client/ui/chat.ts:installChat:http-2,fetch,http,outbound HTTP,fn:polygraph-viz:src/client/ui/chat.ts:installChat,396,403
co:polygraph-viz:src/client/ui/stats.ts:renderStats:http,fetch,http,outbound HTTP,fn:polygraph-viz:src/client/ui/stats.ts:renderStats,26,26
co:polygraph-viz:src/nl/answerer.ts:answerOnce:sdk,bedrock.chat,sdk,Bedrock invocation,fn:polygraph-viz:src/nl/answerer.ts:answerOnce,209,212
co:polygraph-viz:src/nl/answerer.ts:answerStream:sdk,bedrock.chatStream,sdk,Bedrock invocation,fn:polygraph-viz:src/nl/answerer.ts:answerStream,231,234
co:polygraph-viz:src/nl/bedrock.ts:BedrockClient.embed:sdk,this.client.send,sdk,AWS SDK send,fn:polygraph-viz:src/nl/bedrock.ts:BedrockClient.embed,101,101
co:polygraph-viz:src/nl/bedrock.ts:BedrockClient.chat:sdk,this.client.send,sdk,AWS SDK send,fn:polygraph-viz:src/nl/bedrock.ts:BedrockClient.chat,131,131
co:polygraph-viz:src/nl/bedrock.ts:BedrockClient.chatStream:sdk,this.client.send,sdk,AWS SDK send,fn:polygraph-viz:src/nl/bedrock.ts:BedrockClient.chatStream,167,167
co:polygraph-viz:src/nl/embed-cache.ts:EmbedCache.loadFromDisk:fs,existsSync,fs,sync file I/O,fn:polygraph-viz:src/nl/embed-cache.ts:EmbedCache.loadFromDisk,127,127
co:polygraph-viz:src/nl/embed-cache.ts:EmbedCache.loadFromDisk:fs-2,readFileSync,fs,sync file I/O,fn:polygraph-viz:src/nl/embed-cache.ts:EmbedCache.loadFromDisk,129,129
