id,name,signature,returnType,kind,isAsync,fileId,sourceLineStart,sourceLineEnd
fn:solution-intelligence:sig-build/load/loaders/csv-loader.ts:parseCsv,parseCsv,(text: string): CsvRow[],CsvRow[],function,false,file:solution-intelligence:sig-build/load/loaders/csv-loader.ts,49,70
fn:solution-intelligence:sig-build/load/loaders/csv-loader.ts:readCsv,readCsv,(path: string): CsvRow[],CsvRow[],function,false,file:solution-intelligence:sig-build/load/loaders/csv-loader.ts,105,107
fn:solution-intelligence:sig-build/load/loaders/csv-loader.ts:LoadCounter.warn,LoadCounter.warn,(msg: string): void,void,method,false,file:solution-intelligence:sig-build/load/loaders/csv-loader.ts,120,123
fn:solution-intelligence:sig-build/load/loaders/csv-loader.ts:LoadCounter.summary,LoadCounter.summary,(label: string): void,void,method,false,file:solution-intelligence:sig-build/load/loaders/csv-loader.ts,125,131
fn:solution-intelligence:sig-build/load/loaders/csv-loader.ts:isDuplicateError,isDuplicateError,(err: unknown): boolean,boolean,function,false,file:solution-intelligence:sig-build/load/loaders/csv-loader.ts,139,143
fn:polygraph-viz:src/client/ui/chat.ts:installChat,installChat,(opts: ChatBootOptions): void,void,function,false,file:polygraph-viz:src/client/ui/chat.ts,150,499
fn:polygraph-viz:src/client/ui/command-palette.ts:installCommandPalette,installCommandPalette,(opts: InstallOptions): () => void,() => void,function,false,file:polygraph-viz:src/client/ui/command-palette.ts,96,457
fn:polygraph-viz:src/client/ui/commands.ts:exampleForArg,exampleForArg,"(arg: CommandArg, graph: GraphExport): string",string,function,false,file:polygraph-viz:src/client/ui/commands.ts,56,88
fn:polygraph-viz:src/client/ui/commands.ts:parseCommand,parseCommand,(text: string): ParsedCommand | null,ParsedCommand | null,function,false,file:polygraph-viz:src/client/ui/commands.ts,409,417
fn:polygraph-viz:src/client/ui/commands.ts:filterCommands,filterCommands,(prefix: string): CommandSpec[],CommandSpec[],function,false,file:polygraph-viz:src/client/ui/commands.ts,423,427
fn:polygraph-viz:src/client/ui/inspector.ts:clearInspector,clearInspector,(): void,void,function,false,file:polygraph-viz:src/client/ui/inspector.ts,23,28
fn:polygraph-viz:src/client/ui/inspector.ts:showNode,showNode,(node: VizNode): void,void,function,false,file:polygraph-viz:src/client/ui/inspector.ts,33,57
fn:polygraph-viz:src/client/ui/inspector.ts:showGroup,showGroup,"(label: string, members: VizNode[]): void",void,function,false,file:polygraph-viz:src/client/ui/inspector.ts,62,83
fn:polygraph-viz:src/client/ui/inspector.ts:pickDisplayName,pickDisplayName,(node: VizNode): string,string,function,false,file:polygraph-viz:src/client/ui/inspector.ts,97,104
fn:polygraph-viz:src/client/ui/inspector.ts:showEdge,showEdge,"(edge: VizEdge, source: VizNode | undefined, target: VizNode | undefined): void",void,function,false,file:polygraph-viz:src/client/ui/inspector.ts,109,147
fn:polygraph-viz:src/client/ui/inspector.ts:showAggregate,showAggregate,"(fromGroup: string, toGroup: string, edges: VizEdge[], vizById: Map<string, VizNode>): void",void,function,false,file:polygraph-viz:src/client/ui/inspector.ts,154,203
fn:polygraph-viz:src/client/ui/inspector.ts:nodeMatches,nodeMatches,"(node: VizNode, query: string): boolean",boolean,function,false,file:polygraph-viz:src/client/ui/inspector.ts,209,220
fn:polygraph-viz:src/client/ui/palette.ts:primaryLabel,primaryLabel,(labels: string[]): string,string,function,false,file:polygraph-viz:src/client/ui/palette.ts,84,88
fn:polygraph-viz:src/client/ui/palette.ts:buildColorMap,buildColorMap,(nodes: VizNode[]): ColorMap,ColorMap,function,false,file:polygraph-viz:src/client/ui/palette.ts,112,153
fn:polygraph-viz:src/client/ui/palette.ts:colorForLabel,colorForLabel,(label: string): string,string,function,false,file:polygraph-viz:src/client/ui/palette.ts,168,178
fn:polygraph-viz:src/client/ui/stats.ts:renderStats,renderStats,(_graph: GraphExport): Promise<void>,Promise<void>,function,true,file:polygraph-viz:src/client/ui/stats.ts,21,46
fn:polygraph-viz:src/client/ui/theme.ts:installTheme,installTheme,(): void,void,function,false,file:polygraph-viz:src/client/ui/theme.ts,43,62
fn:polygraph-viz:src/client/ui/toolbar.ts:installToolbar,installToolbar,(handlers: ToolbarHandlers): void,void,function,false,file:polygraph-viz:src/client/ui/toolbar.ts,24,55
fn:polygraph-viz:src/client/views/chord.ts:renderChord,renderChord,"(container: HTMLElement, graph: GraphExport): ViewHandle",ViewHandle,function,false,file:polygraph-viz:src/client/views/chord.ts,79,249
fn:polygraph-viz:src/client/views/force.ts:renderForce,renderForce,"(container: HTMLElement, graph: GraphExport): ViewHandle",ViewHandle,function,false,file:polygraph-viz:src/client/views/force.ts,72,536
fn:polygraph-viz:src/client/views/sankey.ts:renderSankey,renderSankey,"(container: HTMLElement, graph: GraphExport): ViewHandle",ViewHandle,function,false,file:polygraph-viz:src/client/views/sankey.ts,434,600
fn:polygraph-viz:src/graph-api.ts:computeStats,computeStats,(data: GraphExport): GraphStats,GraphStats,function,false,file:polygraph-viz:src/graph-api.ts,17,43
fn:polygraph-viz:src/graph-api.ts:computeDegrees,computeDegrees,"(data: GraphExport): Map<string, number>","Map<string, number>",function,false,file:polygraph-viz:src/graph-api.ts,49,56
fn:polygraph-viz:src/graph-api.ts:searchNodes,searchNodes,"(data: GraphExport, query: string): VizNode[]",VizNode[],function,false,file:polygraph-viz:src/graph-api.ts,62,70
fn:polygraph-viz:src/graph-api.ts:filterByLabels,filterByLabels,"(data: GraphExport, labels: string[]): GraphExport",GraphExport,function,false,file:polygraph-viz:src/graph-api.ts,76,82
fn:polygraph-viz:src/graph-api.ts:filterByRelTypes,filterByRelTypes,"(data: GraphExport, types: string[]): GraphExport",GraphExport,function,false,file:polygraph-viz:src/graph-api.ts,88,94
fn:polygraph-viz:src/graph-api.ts:exportGraph,exportGraph,(graph: PolyGraph): Promise<GraphExport>,Promise<GraphExport>,function,true,file:polygraph-viz:src/graph-api.ts,102,149
fn:polygraph-viz:src/graph-api.ts:connectGraph,connectGraph,(path: string): Promise<PolyGraph>,Promise<PolyGraph>,function,true,file:polygraph-viz:src/graph-api.ts,154,159
fn:polygraph-viz:src/graph-api.ts:buildDemoGraph,buildDemoGraph,(): GraphExport,GraphExport,function,false,file:polygraph-viz:src/graph-api.ts,165,207
fn:polygraph-viz:src/middleware.ts:vizMiddleware,vizMiddleware,(_config: { path?: string; url?: string }),inferred,function,false,file:polygraph-viz:src/middleware.ts,9,14
fn:polygraph-viz:src/nl/answerer.ts:buildAnswerContext,buildAnswerContext,"(graph: GraphExport, rankedHits: RankedHit[], maxNodes = 40): AnswerContextNode[]",AnswerContextNode[],function,false,file:polygraph-viz:src/nl/answerer.ts,40,100
