fromId,toId,type,source
file:solution-intelligence:sig/scripts/feature-gap-audit.ts,repo:solution-intelligence,LIVES_IN,sig-build/inventory.mts
cs_2026.file:solution-intelligence:sig/scripts/feature-gap-audit.ts,file:solution-intelligence:sig/scripts/feature-gap-audit.ts,REALIZES_FORM,sig-build/inventory.mts
file:solution-intelligence:sig/scripts/ingest.ts,repo:solution-intelligence,LIVES_IN,sig-build/inventory.mts
cs_2026.file:solution-intelligence:sig/scripts/ingest.ts,file:solution-intelligence:sig/scripts/ingest.ts,REALIZES_FORM,sig-build/inventory.mts
file:solution-intelligence:sig/scripts/query.ts,repo:solution-intelligence,LIVES_IN,sig-build/inventory.mts
cs_2026.file:solution-intelligence:sig/scripts/query.ts,file:solution-intelligence:sig/scripts/query.ts,REALIZES_FORM,sig-build/inventory.mts
file:solution-intelligence:sig-build/inventory.mts,repo:solution-intelligence,LIVES_IN,sig-build/inventory.mts
cs_2026.file:solution-intelligence:sig-build/inventory.mts,file:solution-intelligence:sig-build/inventory.mts,REALIZES_FORM,sig-build/inventory.mts
file:solution-intelligence:sig-build/load/loaders/csv-loader.ts,repo:solution-intelligence,LIVES_IN,sig-build/inventory.mts
cs_2026.file:solution-intelligence:sig-build/load/loaders/csv-loader.ts,file:solution-intelligence:sig-build/load/loaders/csv-loader.ts,REALIZES_FORM,sig-build/inventory.mts
file:solution-intelligence:sig-build/load/loaders/csv-loader.ts,fn:solution-intelligence:sig-build/load/loaders/csv-loader.ts:parseCsv,DECLARES,sig-build/inventory.mts:49
cs_2026.fn:solution-intelligence:sig-build/load/loaders/csv-loader.ts:parseCsv,fn:solution-intelligence:sig-build/load/loaders/csv-loader.ts:parseCsv,REALIZES_FORM,sig-build/inventory.mts
fn:solution-intelligence:sig-build/load/loaders/csv-loader.ts:parseCsv,af:solution-intelligence:sig-build/load/loaders/csv-loader.ts:parseCsv:guard,HAS_ALT_FLOW,sig-build/inventory.mts
cs_2026.early_return:solution-intelligence:sig-build/load/loaders/csv-loader.ts:parseCsv:guard,af:solution-intelligence:sig-build/load/loaders/csv-loader.ts:parseCsv:guard,REALIZES_FORM,sig-build/inventory.mts
file:solution-intelligence:sig-build/load/loaders/csv-loader.ts,fn:solution-intelligence:sig-build/load/loaders/csv-loader.ts:readCsv,DECLARES,sig-build/inventory.mts:105
